keyword,clicks,impressions,position,ctr,relevance_score,issues,severity,flagged
can i mix castor oil with coconut oil for skin,32,700,3.53,0.0457,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for skin,27,678,5.02,0.0398,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for skin overnight,25,760,4.03,0.0329,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best oil to mix with castor oil for face,18,217,3.64,0.0828999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
best carrier oil for castor oil for face,17,281,2.94,0.0605,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil mix benefits for skin,9,116,4.97,0.0776,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil for skin,10,659,2.34,0.0152,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
mixing coconut oil and castor oil for skin,12,172,3.26,0.0698,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
which is better almond oil or jojoba oil for hair,7,330,5.65,0.0212,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil for skin,7,505,5.39,0.0139,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
is castor oil good for skin,5,225,7.23,0.0222,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil mix for skin,6,90,3.16,0.0667,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
frankincense carteri vs serrata for skin,6,270,4.39,0.0222,0,"TOXIC_CONSUMER_MISALIGNMENT, NOT_OIL_RELEVANT",CRITICAL,True
mustard oil vs castor oil for hair,6,201,5.29,0.0299,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
substitute for jojoba oil for hair,6,318,4.04,0.0189,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil for hair,6,434,24.3,0.0138,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
coconut oil and castor oil for skin,5,292,5.14,0.0171,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil for skin,5,455,2.46,0.011,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil for hair,5,872,3.11,0.0056999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil vs almond oil for hair,3,183,7.27,0.0163999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
can i mix castor oil and coconut oil for face,3,182,5.91,0.0165,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
aloe vera and tea tree oil for hair,3,219,5.89,0.0137,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil and coconut oil for face,3,198,8.24,0.0152,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
is castor oil good for face,3,154,32.51,0.0195,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil or mustard oil which is better for hair,4,295,5.22,0.0136,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to make sage oil for hair,4,276,8.77,0.0144999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
fenugreek oil for skin lightening,4,200,8.13,0.02,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil benefits for skin,4,376,2.83,0.0106,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil for face,4,819,31.11,0.0049,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil vs coconut oil for hair,4,552,7.55,0.0072,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
what can i mix with castor oil for skin,5,73,4.19,0.0684999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
mixing castor oil and coconut oil for skin,5,88,2.92,0.0567999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
castor oil vs mustard oil for hair,3,246,5.58,0.0121999999999999,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil vs coconut oil for skin,3,151,6.75,0.0199,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
essential oils to mix with coconut oil for skin,2,93,8.26,0.0215,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
jojoba oil alternative for skin,2,92,4.47,0.0217,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
how to make frankincense resin oil for skin,2,62,5.47,0.0323,30,TOXIC_CONSUMER_MISALIGNMENT,CRITICAL,True
